Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,
2019-05-23T09:51:52.631-0400,2804,1015,323,4635,,,,,,
2019-05-23T09:51:57.267-0400,1088,980,225,2297,,,,,min,476
2019-05-23T09:51:59.564-0400,748,466,152,1368,,,,,max,4635
2019-05-23T09:52:00.933-0400,674,473,225,1396,,,,,average,
2019-05-23T09:52:02.330-0400,583,579,160,1364,,,,,90%,
2019-05-23T09:52:03.694-0400,527,456,477,1464,,,,,99%,2640.78
2019-05-23T09:52:05.158-0400,265,414,123,806,,,,,99.80%,3245.102
2019-05-23T09:52:05.964-0400,279,700,127,1114,,,,,,
2019-05-23T09:52:07.079-0400,518,415,106,1042,,,,,,
2019-05-23T09:52:08.122-0400,427,713,124,1309,,,,,,
2019-05-23T09:52:09.432-0400,369,305,199,875,,,,,,
2019-05-23T09:52:10.307-0400,332,336,108,779,,,,,,
2019-05-23T09:52:11.087-0400,331,415,108,864,,,,,,
2019-05-23T09:52:11.951-0400,326,366,269,966,,,,,,
2019-05-23T09:52:12.917-0400,361,332,87,788,,,,,,
2019-05-23T09:52:13.706-0400,287,569,122,983,,,,,,
2019-05-23T09:52:14.689-0400,316,578,104,1001,,,,,,
2019-05-23T09:52:15.691-0400,279,944,94,1322,,,,,,
2019-05-23T09:52:17.013-0400,257,565,103,928,,,,,,
2019-05-23T09:52:17.942-0400,351,368,172,893,,,,,,
2019-05-23T09:52:18.836-0400,251,428,96,777,,,,,,
2019-05-23T09:52:19.614-0400,260,367,284,919,,,,,,
2019-05-23T09:52:20.533-0400,250,353,77,698,,,,,,
2019-05-23T09:52:21.232-0400,216,586,120,924,,,,,,
2019-05-23T09:52:22.157-0400,342,453,90,890,,,,,,
2019-05-23T09:52:23.047-0400,271,563,91,930,,,,,,
2019-05-23T09:52:23.977-0400,277,449,111,839,,,,,,
2019-05-23T09:52:24.817-0400,233,340,92,671,,,,,,
2019-05-23T09:52:25.488-0400,293,383,64,741,,,,,,
2019-05-23T09:52:26.231-0400,213,709,99,1024,,,,,,
2019-05-23T09:52:27.255-0400,271,550,102,925,,,,,,
2019-05-23T09:52:28.181-0400,348,361,70,783,,,,,,
2019-05-23T09:52:28.964-0400,214,536,93,844,,,,,,
2019-05-23T09:52:29.810-0400,214,321,64,601,,,,,,
2019-05-23T09:52:30.411-0400,192,290,66,550,,,,,,
2019-05-23T09:52:30.962-0400,255,338,64,659,,,,,,
2019-05-23T09:52:31.625-0400,180,370,97,650,,,,,,
2019-05-23T09:52:32.276-0400,299,417,127,847,,,,,,
2019-05-23T09:52:33.124-0400,210,353,159,728,,,,,,
2019-05-23T09:52:33.852-0400,201,686,110,1018,,,,,,
2019-05-23T09:52:34.870-0400,230,280,210,723,,,,,,
2019-05-23T09:52:35.594-0400,341,332,69,748,,,,,,
2019-05-23T09:52:36.343-0400,240,546,177,968,,,,,,
2019-05-23T09:52:37.311-0400,221,305,99,626,,,,,,
2019-05-23T09:52:37.938-0400,211,312,251,776,,,,,,
2019-05-23T09:52:38.715-0400,252,886,94,1236,,,,,,
2019-05-23T09:52:39.951-0400,311,305,765,1388,,,,,,
2019-05-23T09:52:41.340-0400,248,823,89,1198,,,,,,
2019-05-23T09:52:42.539-0400,209,343,417,971,,,,,,
2019-05-23T09:52:43.511-0400,326,298,120,767,,,,,,
2019-05-23T09:52:44.278-0400,264,307,167,740,,,,,,
2019-05-23T09:52:45.019-0400,307,289,63,661,,,,,,
2019-05-23T09:52:45.680-0400,367,267,64,700,,,,,,
2019-05-23T09:52:46.381-0400,310,708,1092,2112,,,,,,
2019-05-23T09:52:48.494-0400,321,365,93,783,,,,,,
2019-05-23T09:52:49.277-0400,628,294,67,1047,,,,,,
2019-05-23T09:52:50.324-0400,211,267,87,574,,,,,,
2019-05-23T09:52:50.899-0400,190,450,100,741,,,,,,
2019-05-23T09:52:51.641-0400,299,617,89,1008,,,,,,
2019-05-23T09:52:52.649-0400,243,285,77,607,,,,,,
2019-05-23T09:52:53.256-0400,285,324,68,678,,,,,,
2019-05-23T09:52:53.935-0400,217,809,412,1440,,,,,,
2019-05-23T09:52:55.375-0400,303,349,185,840,,,,,,
2019-05-23T09:52:56.216-0400,306,305,547,1159,,,,,,
2019-05-23T09:52:57.376-0400,267,318,158,748,,,,,,
2019-05-23T09:52:58.125-0400,247,314,475,1037,,,,,,
2019-05-23T09:52:59.163-0400,299,663,969,1958,,,,,,
2019-05-23T09:53:01.122-0400,267,313,146,728,,,,,,
2019-05-23T09:53:01.850-0400,226,613,168,1009,,,,,,
2019-05-23T09:53:02.860-0400,239,283,169,699,,,,,,
2019-05-23T09:53:03.560-0400,273,350,323,948,,,,,,
2019-05-23T09:53:04.508-0400,293,450,111,859,,,,,,
2019-05-23T09:53:05.367-0400,247,454,92,797,,,,,,
2019-05-23T09:53:06.165-0400,252,260,257,774,,,,,,
2019-05-23T09:53:06.939-0400,242,629,87,964,,,,,,
2019-05-23T09:53:07.904-0400,250,307,573,1136,,,,,,
2019-05-23T09:53:09.040-0400,253,238,64,557,,,,,,
2019-05-23T09:53:09.597-0400,218,665,1166,2053,,,,,,
2019-05-23T09:53:11.651-0400,249,269,64,583,,,,,,
2019-05-23T09:53:12.234-0400,172,510,82,768,,,,,,
2019-05-23T09:53:13.003-0400,258,298,174,739,,,,,,
2019-05-23T09:53:13.743-0400,256,258,69,584,,,,,,
2019-05-23T09:53:14.328-0400,289,873,83,1251,,,,,,
2019-05-23T09:53:15.580-0400,252,435,121,810,,,,,,
2019-05-23T09:53:16.390-0400,253,306,107,668,,,,,,
2019-05-23T09:53:17.059-0400,202,788,97,1090,,,,,,
2019-05-23T09:53:18.149-0400,297,420,117,836,,,,,,
2019-05-23T09:53:18.985-0400,271,309,134,716,,,,,,
2019-05-23T09:53:19.702-0400,259,651,120,1033,,,,,,
2019-05-23T09:53:20.735-0400,241,307,83,636,,,,,,
2019-05-23T09:53:21.372-0400,222,335,139,703,,,,,,
2019-05-23T09:53:22.076-0400,261,838,141,1249,,,,,,
2019-05-23T09:53:23.326-0400,285,483,85,952,,,,,,
2019-05-23T09:53:24.279-0400,287,394,72,755,,,,,,
2019-05-23T09:53:25.034-0400,217,303,107,629,,,,,,
2019-05-23T09:53:25.664-0400,718,639,352,1715,,,,,,
2019-05-23T09:53:27.379-0400,732,622,363,1726,,,,,,
2019-05-23T09:53:29.106-0400,773,772,80,1634,,,,,,
2019-05-23T09:53:30.740-0400,210,330,65,607,,,,,,
2019-05-23T09:53:31.347-0400,242,327,70,640,,,,,,
2019-05-23T09:53:31.988-0400,202,234,61,499,,,,,,
2019-05-23T09:53:32.488-0400,184,722,99,1007,,,,,,
2019-05-23T09:53:33.495-0400,245,303,91,643,,,,,,
2019-05-23T09:53:34.139-0400,226,480,85,793,,,,,,
2019-05-23T09:53:34.933-0400,220,666,82,979,,,,,,
2019-05-23T09:53:35.913-0400,254,282,203,742,,,,,,
2019-05-23T09:53:36.655-0400,321,379,617,1323,,,,,,
2019-05-23T09:53:37.978-0400,212,556,94,864,,,,,,
2019-05-23T09:53:38.843-0400,266,453,106,827,,,,,,
2019-05-23T09:53:39.670-0400,408,331,184,930,,,,,,
2019-05-23T09:53:40.601-0400,233,325,78,648,,,,,,
2019-05-23T09:53:41.250-0400,188,321,197,711,,,,,,
2019-05-23T09:53:41.961-0400,214,309,72,596,,,,,,
