Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,6572
2019-05-23T20:17:25.985-0400,1773,781,268,3355,,,,,,
2019-05-23T20:17:29.341-0400,459,316,213,1216,,,,,min,369
2019-05-23T20:17:30.559-0400,426,323,197,957,,,,,max,3430
2019-05-23T20:17:31.516-0400,382,319,190,918,,,,,90,966
2019-05-23T20:17:32.435-0400,361,338,207,918,,,,,99,1781.6
2019-05-23T20:17:33.354-0400,393,379,172,948,,,,,99.8,2265.056
2019-05-23T20:17:34.302-0400,350,258,160,775,,,,,rps,5.474166667
2019-05-23T20:17:35.078-0400,357,342,166,874,,,,,,
2019-05-23T20:17:35.953-0400,332,630,168,1134,,,,,,
2019-05-23T20:17:37.087-0400,350,362,148,870,,,,,,
2019-05-23T20:17:37.958-0400,329,597,331,1269,,,,,,
2019-05-23T20:17:39.228-0400,374,514,158,1109,,,,,,
2019-05-23T20:17:40.338-0400,329,508,142,981,,,,,,
2019-05-23T20:17:41.319-0400,300,340,158,811,,,,,,
2019-05-23T20:17:42.131-0400,293,455,152,902,,,,,,
2019-05-23T20:17:43.034-0400,300,275,142,736,,,,,,
2019-05-23T20:17:43.770-0400,284,361,135,792,,,,,,
2019-05-23T20:17:44.563-0400,305,468,139,920,,,,,,
2019-05-23T20:17:45.484-0400,311,464,145,933,,,,,,
2019-05-23T20:17:46.418-0400,277,299,151,729,,,,,,
2019-05-23T20:17:47.147-0400,308,107,21,438,,,,,,
2019-05-23T20:17:47.586-0400,290,306,135,741,,,,,,
2019-05-23T20:17:48.327-0400,287,325,137,751,,,,,,
2019-05-23T20:17:49.079-0400,312,366,167,859,,,,,,
2019-05-23T20:17:49.938-0400,309,281,150,753,,,,,,
2019-05-23T20:17:50.692-0400,379,315,144,841,,,,,,
2019-05-23T20:17:51.533-0400,302,237,128,669,,,,,,
2019-05-23T20:17:52.203-0400,286,280,141,708,,,,,,
2019-05-23T20:17:52.912-0400,280,360,138,779,,,,,,
2019-05-23T20:17:53.691-0400,289,332,130,765,,,,,,
2019-05-23T20:17:54.458-0400,276,237,125,640,,,,,,
2019-05-23T20:17:55.098-0400,284,344,155,794,,,,,,
2019-05-23T20:17:55.893-0400,285,250,301,846,,,,,,
2019-05-23T20:17:56.740-0400,294,339,129,764,,,,,,
2019-05-23T20:17:57.504-0400,282,645,171,1100,,,,,,
2019-05-23T20:17:58.605-0400,289,575,207,1078,,,,,,
2019-05-23T20:17:59.684-0400,312,392,216,933,,,,,,
2019-05-23T20:18:00.618-0400,302,391,147,842,,,,,,
2019-05-23T20:18:01.460-0400,291,481,149,922,,,,,,
2019-05-23T20:18:02.383-0400,302,468,144,916,,,,,,
2019-05-23T20:18:03.300-0400,294,483,154,933,,,,,,
2019-05-23T20:18:04.233-0400,302,462,136,902,,,,,,
2019-05-23T20:18:05.136-0400,291,493,141,936,,,,,,
2019-05-23T20:18:06.072-0400,292,474,145,913,,,,,,
2019-05-23T20:18:06.986-0400,294,789,161,1258,,,,,,
2019-05-23T20:18:08.244-0400,291,454,154,901,,,,,,
2019-05-23T20:18:09.146-0400,286,350,135,786,,,,,,
2019-05-23T20:18:09.933-0400,282,275,125,693,,,,,,
2019-05-23T20:18:10.627-0400,283,253,142,679,,,,,,
2019-05-23T20:18:11.307-0400,292,224,132,662,,,,,,
2019-05-23T20:18:11.970-0400,305,299,153,759,,,,,,
2019-05-23T20:18:12.729-0400,284,357,144,786,,,,,,
2019-05-23T20:18:13.516-0400,297,552,141,992,,,,,,
2019-05-23T20:18:14.509-0400,280,281,130,692,,,,,,
2019-05-23T20:18:15.202-0400,289,286,136,726,,,,,,
2019-05-23T20:18:15.928-0400,278,317,120,733,,,,,,
2019-05-23T20:18:16.661-0400,258,255,129,643,,,,,,
2019-05-23T20:18:17.305-0400,291,329,125,747,,,,,,
2019-05-23T20:18:18.053-0400,284,394,134,825,,,,,,
2019-05-23T20:18:18.878-0400,279,100,22,402,,,,,,
2019-05-23T20:18:19.281-0400,278,264,124,677,,,,,,
2019-05-23T20:18:19.959-0400,280,165,21,468,,,,,,
2019-05-23T20:18:20.427-0400,302,318,143,764,,,,,,
2019-05-23T20:18:21.192-0400,300,275,136,713,,,,,,
2019-05-23T20:18:21.906-0400,286,407,134,828,,,,,,
2019-05-23T20:18:22.735-0400,280,413,165,860,,,,,,
2019-05-23T20:18:23.595-0400,294,461,162,928,,,,,,
2019-05-23T20:18:24.524-0400,278,305,143,727,,,,,,
2019-05-23T20:18:25.252-0400,306,635,140,1091,,,,,,
2019-05-23T20:18:26.344-0400,292,479,148,920,,,,,,
2019-05-23T20:18:27.264-0400,303,469,140,919,,,,,,
2019-05-23T20:18:28.183-0400,432,312,127,886,,,,,,
2019-05-23T20:18:29.070-0400,282,522,130,936,,,,,,
2019-05-23T20:18:30.006-0400,280,308,137,726,,,,,,
2019-05-23T20:18:30.733-0400,284,399,260,957,,,,,,
2019-05-23T20:18:31.690-0400,293,284,126,704,,,,,,
2019-05-23T20:18:32.395-0400,300,564,132,1010,,,,,,
2019-05-23T20:18:33.406-0400,284,410,128,825,,,,,,
2019-05-23T20:18:34.231-0400,284,422,147,854,,,,,,
2019-05-23T20:18:35.085-0400,283,655,230,1180,,,,,,
2019-05-23T20:18:36.265-0400,309,680,136,1138,,,,,,
2019-05-23T20:18:37.404-0400,284,487,138,919,,,,,,
2019-05-23T20:18:38.324-0400,278,501,133,912,,,,,,
2019-05-23T20:18:39.237-0400,298,482,135,916,,,,,,
2019-05-23T20:18:40.154-0400,320,98,23,443,,,,,,
2019-05-23T20:18:40.597-0400,291,351,124,767,,,,,,
2019-05-23T20:18:41.365-0400,278,100,21,401,,,,,,
2019-05-23T20:18:41.767-0400,297,256,135,704,,,,,,
2019-05-23T20:18:42.472-0400,276,248,123,648,,,,,,
2019-05-23T20:18:43.121-0400,271,284,137,693,,,,,,
2019-05-23T20:18:43.814-0400,267,244,128,640,,,,,,
2019-05-23T20:18:44.455-0400,277,492,126,907,,,,,,
2019-05-23T20:18:45.362-0400,282,268,167,718,,,,,,
2019-05-23T20:18:46.098-0400,275,306,122,717,,,,,,
2019-05-23T20:18:46.815-0400,297,438,155,903,,,,,,
2019-05-23T20:18:47.719-0400,497,282,129,910,,,,,,
2019-05-23T20:18:48.629-0400,295,303,140,751,,,,,,
2019-05-23T20:18:49.381-0400,298,301,127,728,,,,,,
2019-05-23T20:18:50.109-0400,291,233,123,649,,,,,,
2019-05-23T20:18:50.759-0400,260,282,121,664,,,,,,
2019-05-23T20:18:51.424-0400,267,266,121,665,,,,,,
2019-05-23T20:18:52.090-0400,263,564,116,954,,,,,,
2019-05-23T20:18:53.044-0400,284,471,128,895,,,,,,
2019-05-23T20:18:53.939-0400,296,291,170,770,,,,,,
2019-05-23T20:18:54.710-0400,277,425,147,861,,,,,,
2019-05-23T20:18:55.571-0400,352,327,256,946,,,,,,
2019-05-23T20:18:56.518-0400,287,323,131,754,,,,,,
2019-05-23T20:18:57.273-0400,297,273,135,715,,,,,,
2019-05-23T20:18:57.988-0400,317,264,129,711,,,,,,
2019-05-23T20:18:58.700-0400,276,285,126,688,,,,,,
2019-05-23T20:18:59.388-0400,589,423,134,1156,,,,,,
2019-05-23T20:19:00.544-0400,293,385,207,887,,,,,,
2019-05-23T20:19:01.432-0400,298,314,136,762,,,,,,
2019-05-23T20:19:02.195-0400,277,312,120,710,,,,,,
2019-05-23T20:19:02.905-0400,278,311,123,723,,,,,,
2019-05-23T20:19:03.629-0400,274,396,141,812,,,,,,
2019-05-23T20:19:04.442-0400,295,501,126,923,,,,,,
2019-05-23T20:19:05.365-0400,293,295,126,726,,,,,,
2019-05-23T20:19:06.091-0400,265,100,24,391,,,,,,
2019-05-23T20:19:06.637-0400,263,252,131,659,,,,,,
2019-05-23T20:19:07.297-0400,288,549,246,1095,,,,,,
2019-05-23T20:19:08.392-0400,285,235,131,664,,,,,,
2019-05-23T20:19:09.056-0400,298,314,142,756,,,,,,
2019-05-23T20:19:09.813-0400,272,651,133,1068,,,,,,
2019-05-23T20:19:10.881-0400,280,259,136,686,,,,,,
2019-05-23T20:19:11.568-0400,273,251,127,653,,,,,,
2019-05-23T20:19:12.221-0400,290,346,138,776,,,,,,
2019-05-23T20:19:12.998-0400,281,317,132,743,,,,,,
2019-05-23T20:19:13.742-0400,286,311,127,726,,,,,,
2019-05-23T20:19:14.468-0400,272,607,132,1023,,,,,,
2019-05-23T20:19:15.492-0400,292,483,149,925,,,,,,
2019-05-23T20:19:16.417-0400,331,440,139,924,,,,,,
2019-05-23T20:19:17.341-0400,290,318,127,736,,,,,,
2019-05-23T20:19:18.078-0400,280,674,207,1176,,,,,,
2019-05-23T20:19:19.254-0400,273,427,134,845,,,,,,
2019-05-23T20:19:20.099-0400,474,607,144,1236,,,,,,
2019-05-23T20:19:21.336-0400,294,474,131,901,,,,,,
2019-05-23T20:19:22.237-0400,282,327,128,747,,,,,,
2019-05-23T20:19:23.000-0400,285,663,135,1093,,,,,,
2019-05-23T20:19:24.094-0400,289,485,137,919,,,,,,
2019-05-23T20:19:25.014-0400,275,342,128,746,,,,,,
2019-05-23T20:19:25.761-0400,280,670,144,1110,,,,,,
2019-05-23T20:19:26.871-0400,268,104,28,402,,,,,,
2019-05-23T20:19:27.274-0400,285,353,139,791,,,,,,
2019-05-23T20:19:28.065-0400,285,367,135,788,,,,,,
2019-05-23T20:19:28.854-0400,288,297,159,757,,,,,,
2019-05-23T20:19:29.612-0400,305,276,127,720,,,,,,
2019-05-23T20:19:30.333-0400,286,214,132,646,,,,,,
2019-05-23T20:19:30.979-0400,294,258,140,707,,,,,,
2019-05-23T20:19:31.687-0400,286,311,141,754,,,,,,
2019-05-23T20:19:32.441-0400,279,545,139,965,,,,,,
2019-05-23T20:19:33.407-0400,300,378,144,830,,,,,,
2019-05-23T20:19:34.237-0400,292,580,150,1036,,,,,,
2019-05-23T20:19:35.274-0400,299,354,138,793,,,,,,
2019-05-23T20:19:36.067-0400,299,382,140,836,,,,,,
2019-05-23T20:19:36.903-0400,278,385,141,818,,,,,,
2019-05-23T20:19:37.722-0400,290,785,138,1229,,,,,,
2019-05-23T20:19:38.952-0400,385,379,147,913,,,,,,
2019-05-23T20:19:39.865-0400,302,368,328,1010,,,,,,
2019-05-23T20:19:40.876-0400,278,96,20,395,,,,,,
2019-05-23T20:19:41.272-0400,299,241,143,694,,,,,,
2019-05-23T20:19:41.966-0400,320,256,144,722,,,,,,
2019-05-23T20:19:42.688-0400,299,320,143,773,,,,,,
2019-05-23T20:19:43.461-0400,323,242,132,714,,,,,,
2019-05-23T20:19:44.176-0400,289,263,135,688,,,,,,
2019-05-23T20:19:44.864-0400,276,111,20,409,,,,,,
2019-05-23T20:19:45.273-0400,305,242,148,703,,,,,,
2019-05-23T20:19:45.977-0400,351,252,137,741,,,,,,
2019-05-23T20:19:46.718-0400,293,228,132,666,,,,,,
2019-05-23T20:19:47.386-0400,292,298,133,734,,,,,,
2019-05-23T20:19:48.120-0400,299,272,136,709,,,,,,
2019-05-23T20:19:48.829-0400,269,215,140,626,,,,,,
2019-05-23T20:19:49.456-0400,279,292,130,702,,,,,,
2019-05-23T20:19:50.158-0400,345,270,136,753,,,,,,
2019-05-23T20:19:50.911-0400,284,237,213,751,,,,,,
2019-05-23T20:19:51.663-0400,322,499,154,999,,,,,,
2019-05-23T20:19:52.662-0400,316,947,141,1406,,,,,,
2019-05-23T20:19:54.069-0400,312,431,132,886,,,,,,
2019-05-23T20:19:54.956-0400,382,254,138,776,,,,,,
2019-05-23T20:19:55.733-0400,273,349,196,819,,,,,,
2019-05-23T20:19:56.552-0400,295,238,142,677,,,,,,
2019-05-23T20:19:57.230-0400,297,314,127,739,,,,,,
2019-05-23T20:19:57.970-0400,289,116,19,424,,,,,,
2019-05-23T20:19:58.395-0400,283,287,128,708,,,,,,
2019-05-23T20:19:59.103-0400,282,99,20,403,,,,,,
2019-05-23T20:19:59.507-0400,312,111,25,449,,,,,,
2019-05-23T20:19:59.957-0400,280,229,130,650,,,,,,
2019-05-23T20:20:00.608-0400,273,338,126,750,,,,,,
2019-05-23T20:20:01.358-0400,267,257,129,655,,,,,,
2019-05-23T20:20:02.014-0400,290,435,155,895,,,,,,
2019-05-23T20:20:02.910-0400,302,298,138,754,,,,,,
2019-05-23T20:20:03.664-0400,290,215,131,637,,,,,,
2019-05-23T20:20:04.302-0400,285,475,139,909,,,,,,
2019-05-23T20:20:05.212-0400,270,296,142,716,,,,,,
2019-05-23T20:20:05.929-0400,303,284,135,746,,,,,,
2019-05-23T20:20:06.675-0400,277,343,129,750,,,,,,
2019-05-23T20:20:07.426-0400,459,250,147,872,,,,,,
2019-05-23T20:20:08.298-0400,278,265,134,687,,,,,,
2019-05-23T20:20:08.986-0400,303,232,154,691,,,,,,
2019-05-23T20:20:09.677-0400,303,251,143,707,,,,,,
2019-05-23T20:20:10.385-0400,469,221,197,911,,,,,,
2019-05-23T20:20:11.296-0400,293,218,132,660,,,,,,
2019-05-23T20:20:11.957-0400,278,245,166,690,,,,,,
2019-05-23T20:20:12.648-0400,283,317,132,734,,,,,,
2019-05-23T20:20:13.382-0400,308,333,154,809,,,,,,
2019-05-23T20:20:14.191-0400,286,237,156,691,,,,,,
2019-05-23T20:20:14.883-0400,299,424,273,997,,,,,,
2019-05-23T20:20:15.881-0400,388,240,129,759,,,,,,
2019-05-23T20:20:16.640-0400,295,212,130,639,,,,,,
2019-05-23T20:20:17.279-0400,302,243,148,701,,,,,,
2019-05-23T20:20:17.981-0400,286,279,144,711,,,,,,
2019-05-23T20:20:18.692-0400,284,234,136,655,,,,,,
2019-05-23T20:20:19.348-0400,281,266,136,684,,,,,,
2019-05-23T20:20:20.032-0400,299,266,220,786,,,,,,
2019-05-23T20:20:20.819-0400,277,282,136,704,,,,,,
2019-05-23T20:20:21.523-0400,305,368,132,807,,,,,,
2019-05-23T20:20:22.331-0400,302,260,137,700,,,,,,
2019-05-23T20:20:23.031-0400,309,296,140,746,,,,,,
2019-05-23T20:20:23.777-0400,300,593,129,1023,,,,,,
