Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,3418,,,Total Duration(ms)
2019-05-22T12:02:13.991-0400,713,452,324,1498,,,,,min,461,,,477
2019-05-22T12:02:15.490-0400,641,468,199,1311,,,,,max,12182,,,479
2019-05-22T12:02:16.802-0400,529,487,146,1217,,,,,,,,,481
2019-05-22T12:02:18.020-0400,310,496,191,1001,,,,,,,,,483
2019-05-22T12:02:19.022-0400,301,478,133,917,,,,,,,,,493
2019-05-22T12:02:19.939-0400,311,663,252,1230,,,,,,,,,495
2019-05-22T12:02:21.170-0400,467,505,227,1202,,,,,,,,,497
2019-05-22T12:02:22.372-0400,333,856,113,1319,,,,,,,,,498
2019-05-22T12:02:23.691-0400,315,470,118,906,,,,,,,,,500
2019-05-22T12:02:24.598-0400,266,537,102,909,,,,,,,,,502
2019-05-22T12:02:25.508-0400,289,530,113,938,,,,,,,,,502
2019-05-22T12:02:26.446-0400,285,406,112,809,,,,,,,,,502
2019-05-22T12:02:27.256-0400,249,353,72,676,,,,,,,,,503
2019-05-22T12:02:27.932-0400,268,580,467,1322,,,,,,,,,507
2019-05-22T12:02:29.255-0400,232,317,76,627,,,,,,,,,508
2019-05-22T12:02:29.883-0400,284,346,79,720,,,,,,,,,510
2019-05-22T12:02:30.603-0400,242,624,1102,1970,,,,,,,,,511
2019-05-22T12:02:32.574-0400,323,380,89,806,,,,,,,,,511
2019-05-22T12:02:33.380-0400,272,657,124,1056,,,,,,,,,512
2019-05-22T12:02:34.437-0400,184,364,718,1272,,,,,,,,,512
2019-05-22T12:02:35.709-0400,290,971,134,1397,,,,,,,,,513
2019-05-22T12:02:37.106-0400,208,321,62,593,,,,,,,,,514
2019-05-22T12:02:37.700-0400,256,346,315,929,,,,,,,,,515
2019-05-22T12:02:38.630-0400,287,715,106,1114,,,,,,,,,515
2019-05-22T12:02:39.744-0400,305,607,563,1478,,,,,,,,,517
2019-05-22T12:02:41.223-0400,240,747,1063,2054,,,,,,,,,517
2019-05-22T12:02:43.278-0400,219,362,76,659,,,,,,,,,518
2019-05-22T12:02:43.937-0400,220,696,91,1009,,,,,,,,,518
2019-05-22T12:02:44.947-0400,267,459,88,816,,,,,,,,,519
2019-05-22T12:02:45.763-0400,254,326,344,927,,,,,,,,,519
2019-05-22T12:02:46.691-0400,261,439,77,781,,,,,,,,,520
2019-05-22T12:02:47.473-0400,260,742,90,1097,,,,,,,,,520
2019-05-22T12:02:48.571-0400,159,298,143,614,,,,,,,,,520
2019-05-22T12:02:49.185-0400,208,786,73,1076,,,,,,,,,522
2019-05-22T12:02:50.261-0400,241,494,92,832,,,,,,,,,522
2019-05-22T12:02:51.095-0400,204,518,671,1394,,,,,,,,,523
2019-05-22T12:02:52.490-0400,247,516,103,868,,,,,,,,,525
2019-05-22T12:02:53.358-0400,230,482,89,802,,,,,,,,,525
2019-05-22T12:02:54.161-0400,234,1007,96,1345,,,,,,,,,525
2019-05-22T12:02:55.507-0400,203,302,259,766,,,,,,,,,525
2019-05-22T12:02:56.273-0400,210,355,69,644,,,,,,,,,526
2019-05-22T12:02:56.918-0400,196,794,84,1076,,,,,,,,,526
